Title,Section,call_number,MinCredit,MaxCredit,MaxEnrollment,Cur_Enroll,Status,StartDate,EndDate,Instructor,Term,Meeting_day,start_time,end_time,site,Building,Room,Activity,control,Argument,value,Operator
Molecular Genetics,BIO 687A,10048,3,3,30,22,O,2019-08-26Z,2019-12-20Z,Gubler U,2019F,M,14:15:00Z,16:45:00Z,Castle Point,M,205,LEC,NA,,,
Special Rsrch Prob in Chemistry,BIO 800A,10049,1,6,999,0,O,2019-08-26Z,2019-12-20Z,STAFF,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Rsrch Prob in Biology,BIO 800B,12624,1,6,0,0,C,2019-08-26Z,2019-12-20Z,Wang H,2019F,NA,NA,NA,NA,NA,NA,NA,NA,,,
Masters Thesis in Biology,BIO 900A,10050,1,10,999,0,O,2019-08-26Z,2019-12-20Z,STAFF,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Curricular Practical Training,BIOE702A,12244,1,3,999,1,O,2019-08-26Z,2019-12-20Z,STAFF,2019F,TBA,NA,NA,Castle Point,,,LEC,NA,,,
Spec Rsrch Prob BIOE(MEN),BIOE800A,12245,1,6,999,1,O,2019-08-26Z,2019-12-20Z,STAFF,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Thesis in Bioengineering,BIOE900A,12246,1,10,0,1,C,2019-08-26Z,2019-12-20Z,Perekatt A,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Intro to Biomedical Engineering,BME 306A,10051,3,3,35,21,O,2019-08-26Z,2019-12-20Z,Tucci B,2019F,T,13:00:00Z,13:50:00Z,Castle Point,GS,123,LEC,NA,NA,NA,NA
Engineering Design VI,BME 322A,10052,2,2,20,13,O,2019-08-26Z,2019-12-20Z,Vinjamuri R,2019F,R,4:00:00Z,6:50:00Z,Castle Point,C,316,L/L,NA,,,
Transport in Biological Systems,BME 342A,10053,4,4,35,12,O,2019-08-26Z,2019-12-20Z,Perlman C,2019F,W,8:00:00Z,9:50:00Z,Castle Point,BC,220,LEC,NA,,MA  282,
Transport in Biological Systems,BME 342LA,10055,0,0,15,12,O,2019-08-26Z,2019-12-20Z,Yu X,2019F,F,10:00:00Z,12:50:00Z,Castle Point,X,003,LAB,NA,,MA  282,
Engineering Design VII,BME 423A,10056,3,3,25,26,C,2019-08-26Z,2019-12-20Z,Hazelwood V,2019F,TR,10:30:00Z,12:20:00Z,Castle Point,GS,024,L/L,NA,,,
Engineering Design VII,BME 423B,10057,3,3,25,18,O,2019-08-26Z,2019-12-20Z,Hazelwood V,2019F,TR,8:30:00Z,10:20:00Z,Castle Point,GS,024,L/L,NA,,,
Engineering Design VII,BME 423X,10058,3,3,10,0,O,2019-08-26Z,2019-12-20Z,Hazelwood V,2019F,TR,10:30:00Z,12:20:00Z,Castle Point,GS,024,L/L,NA,NA,NA,NA
Bioethics,BME 453A,10059,3,3,20,9,O,2019-08-26Z,2019-12-20Z,Blank H,2019F,W,14:15:00Z,16:45:00Z,Castle Point,X,510,LEC,NA,,,
Biomed Digital Signal ProcessLab,BME 460A,10060,2,2,20,12,O,2019-08-26Z,2019-12-20Z,Ascione A,2019F,T,14:30:00Z,17:20:00Z,Castle Point,X,003,LAB,NA,,,
Biomed Digital Signal ProcessLab,BME 460B,10061,2,2,20,2,O,2019-08-26Z,2019-12-20Z,Ascione A,2019F,T,14:30:00Z,17:20:00Z,Castle Point,X,003,LAB,NA,,,
Engineering Physiology,BME 482A,10062,4,4,25,0,X,2019-08-26Z,2019-12-20Z,McConnell G,2019F,MWF,6:00:00Z,6:50:00Z,Castle Point,,,LEC,NA,,,
Engineering Physiology,BME 482B,10063,4,4,45,42,O,2019-08-26Z,2019-12-20Z,McConnell G,2019F,MWF,5:00:00Z,5:50:00Z,Castle Point,C,316,LEC,NA,,,
Engineering Physiology,BME 482CA,12612,4,4,0,2,C,2019-08-26Z,2019-12-20Z,McConnell G,2019F,NA,NA,NA,NA,NA,NA,NA,NA,,,
Engineering Physiology,BME 482LA,10064,0,0,15,9,O,2019-08-26Z,2019-12-20Z,Tucci B,2019F,R,7:00:00Z,9:50:00Z,Castle Point,X,003,LAB,NA,,,
Engineering Physiology,BME 482LB,10065,0,0,15,17,C,2019-08-26Z,2019-12-20Z,Tucci B,2019F,R,4:00:00Z,6:50:00Z,Castle Point,X,003,LAB,NA,,,
Engineering Physiology,BME 482LC,10066,0,0,15,16,C,2019-08-26Z,2019-12-20Z,Tucci B,2019F,M,10:00:00Z,12:50:00Z,Castle Point,X,003,LAB,NA,,,
Research in BME I,BME 498A,10067,3,3,999,0,O,2019-08-26Z,2019-12-20Z,STAFF,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Physiology for Engineers I,BME 502WS,11880,3,3,50,14,O,2019-08-26Z,2019-12-20Z,Edinger H,2019F,TBA,NA,NA,WS,OFF,WEB,LEC,NA,,,
Medical Instrumentation&Imaging,BME 504WS,11881,3,3,50,6,O,2019-08-26Z,2019-12-20Z,Man H,2019F,TBA,NA,NA,WS,OFF,WEB,LEC,NA,NA,NA,NA
Medical Instrumentation&Imaging,BME 504WSU,12293,3,3,30,26,O,2019-08-26Z,2019-12-20Z,Man H,2019F,TBA,NA,NA,WS,OFF,WEB,LEC,NA,,,
Biomaterials,BME 505A,10068,3,3,15,7,O,2019-08-26Z,2019-12-20Z,Wang H,2019F,M,14:15:00Z,16:45:00Z,Castle Point,BC,210,LEC,NA,,,
Biomaterials,BME 505A-U,10069,3,3,25,16,O,2019-08-26Z,2019-12-20Z,Wang H,2019F,M,14:15:00Z,16:45:00Z,Castle Point,BC,210,LEC,NA,,,
Biomaterials,BME 505LA,10070,0,0,15,9,O,2019-08-26Z,2019-12-20Z,Shady S,2019F,M,10:00:00Z,12:50:00Z,Castle Point,NB,102,LAB,NA,,,
Biomaterials,BME 505LB,10071,0,0,15,14,O,2019-08-26Z,2019-12-20Z,Shady S,2019F,W,8:00:00Z,10:30:00Z,Castle Point,B,714,LAB,NA,,,
Biomechanics,BME 506A,10072,3,3,15,4,O,2019-08-26Z,2019-12-20Z,Shady S,2019F,R,14:30:00Z,17:00:00Z,Castle Point,M,103,LEC,NA,,,
Biomechanics,BME 506A-U,10073,3,3,15,15,C,2019-08-26Z,2019-12-20Z,Shady S,2019F,R,14:30:00Z,17:00:00Z,Castle Point,M,103,LEC,NA,,,
Advanced Biomechanics,BME 556A,10074,3,3,30,29,O,2019-08-26Z,2019-12-20Z,Nataraj R,2019F,W,14:30:00Z,17:00:00Z,Castle Point,BC,210,LEC,NA,,,
Intro Brain-Machine Interfaces,BME 558A,12230,3,3,25,16,O,2019-08-26Z,2019-12-20Z,Vinjamuri R,2019F,R,14:30:00Z,17:20:00Z,Castle Point,X,104,LEC,NA,NA,NA,NA
Strat. & Prin. of Biomed. Dsgn.,BME 600A,10076,3,3,25,15,O,2019-08-26Z,2019-12-20Z,STAFF,2019F,T,14:30:00Z,17:00:00Z,Castle Point,X,510,LEC,NA,,,
Prin. of Tissue Engineering,BME 602A,10077,3,3,25,17,O,2019-08-26Z,2019-12-20Z,Yu X,2019F,F,11:00:00Z,13:30:00Z,Castle Point,X,414,LEC,NA,,,
